Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,530266292,6803.047615087729,2967189,38.067530134396236,204539,6299364,80.81764555528169,7393,0.09484844082516856,677,
United States of America,Americas,83851879,25332.691,663260,200.379,31046,998977,301.803,1687,0.51,31
India,South-East Asia,43185049,3129.341,26962,1.954,3714,524708,38.022,78,0.006,7
Brazil,Americas,31159335,14659.118,205756,96.799,6266,667005,313.797,552,0.26,8
France,Europe,28731486,44175.537,128444,197.487,6184,145150,223.173,200,0.308,0
Germany,Europe,26498346,31861.722,166192,199.83,840,139388,167.601,18,0.022,0
The United Kingdom,Europe,22338950,32906.562,41160,60.631,5128,178866,263.48,105,0.155,0
Russian Federation,Europe,18358459,12579.934,27096,18.567,3259,379657,260.156,540,0.37,73
Republic of Korea,Western Pacific,18174880,35449.91,71262,138.996,6172,24299,47.395,123,0.24,20
Italy,Europe,17514589,29366.452,117866,197.624,8616,167019,280.038,388,0.651,70
Turkey,Europe,15073722,17872.764,1950,2.312,0,98969,117.347,8,0.009,0
Spain,Europe,12403245,26204.437,10707,22.621,0,106797,225.631,179,0.378,0
Viet Nam,Western Pacific,10726045,11019.315,7676,7.886,806,43081,44.259,3,0.003,1
Argentina,Americas,9276618,20525.41,46045,101.879,0,128973,285.365,84,0.186,0
Japan,Western Pacific,8957135,7082.057,126835,100.283,11351,30773,24.331,191,0.151,21
Netherlands,Europe,8090237,46475.355,5715,32.831,0,22325,128.249,7,0.04,0
Australia,Western Pacific,7425829,29121.031,187764,736.333,17502,8755,34.333,286,1.122,93
Iran (Islamic Republic of),Eastern Mediterranean,7232790,8611.187,988,1.176,59,141332,168.267,22,0.026,1
Colombia,Americas,6109105,12006.207,5650,11.104,0,139867,274.88,13,0.026,0
Indonesia,South-East Asia,6057142,2214.486,2169,0.793,0,156622,57.261,31,0.011,0
Poland,Europe,6009003,15830.605,1419,3.738,338,116355,306.535,36,0.095,6
Mexico,Americas,5791282,4491.707,14184,11.001,0,325017,252.083,13,0.01,0
Ukraine,Europe,5014929,11466.952,3496,7.994,0,108605,248.332,67,0.153,0
Portugal,Europe,4846230,47069.472,166037,1612.65,7757,23411,227.382,290,2.817,49
Malaysia,Western Pacific,4516319,13953.9,11260,34.79,1330,35690,110.27,21,0.065,2
Thailand,South-East Asia,4471179,6405.703,20722,29.688,2224,30218,43.292,199,0.285,20
Austria,Europe,4306509,48381.957,20066,225.434,2123,19950,224.131,13,0.146,1
Belgium,Europe,4158754,36092.651,3289,28.544,0,31768,275.705,6,0.052,0
Israel,Europe,4157243,48029.846,16893,195.17,3731,10864,125.515,4,0.046,0
South Africa,Africa,3968205,6690.765,13234,22.314,0,101317,170.83,155,0.261,0
Czechia,Europe,3921529,36670.576,1498,14.008,403,40294,376.793,4,0.037,0
Canada,Americas,3881350,10283.859,13035,34.537,710,41284,109.384,148,0.392,3
Chile,Americas,3756220,19649.406,57553,301.069,7601,57991,303.36,104,0.544,18
Philippines,Western Pacific,3691724,3368.943,1276,1.164,179,60456,55.17,1,0.001,0
Switzerland,Europe,3657550,42261.253,4,0.046,0,13259,153.201,0,0,0
Peru,Americas,3585381,10874.065,5330,16.165,1125,213259,646.791,86,0.261,11
Greece,Europe,3473141,32403.041,24992,233.166,2501,29927,279.207,94,0.877,14
China,Western Pacific,3445593,234.189,507059,34.464,53291,17702,1.203,933,0.063,151
Denmark,Europe,3138678,53903.585,2494,42.832,0,6376,109.501,18,0.309,0
Romania,Europe,2910766,15059.188,2062,10.668,213,65693,339.87,15,0.078,1
Sweden,Europe,2509366,24297.694,651,6.304,0,19014,184.109,0,0,0
Iraq,Eastern Mediterranean,2328787,5789.763,768,1.909,117,25221,62.704,2,0.005,0
Serbia,Europe,2018890,29146.47,1701,24.557,281,16091,232.304,11,0.159,3
Bangladesh,South-East Asia,1953700,1186.294,219,0.133,43,29131,17.688,0,0,0
Hungary,Europe,1919840,19651.312,2063,21.117,0,46547,476.451,40,0.409,0
Slovakia,Europe,1790423,32804.409,813,14.896,167,20105,368.367,5,0.092,1
Jordan,Eastern Mediterranean,1697271,16634.801,334,3.274,0,14068,137.879,2,0.02,0
Georgia,Europe,1657729,41555.685,575,14.414,0,16826,421.791,1,0.025,0
Ireland,Europe,1565970,31543.739,1468,29.57,0,7381,148.677,10,0.201,0
Pakistan,Eastern Mediterranean,1530764,692.991,431,0.195,59,30379,13.753,0,0,0
Norway,Europe,1434798,26730.817,1634,30.442,37,3172,59.096,0,0,0
Kazakhstan,Europe,1394974,7429.279,76,0.405,10,19016,101.274,0,0,0
Singapore,Western Pacific,1321146,22582.372,22837,390.353,2162,1393,23.811,7,0.12,0
New Zealand,Western Pacific,1200706,24899.378,43479,901.636,5831,1194,24.76,66,1.369,15
Morocco,Eastern Mediterranean,1170427,3170.981,2444,6.621,233,16080,43.565,4,0.011,0
Bulgaria,Europe,1166148,16775.531,1163,16.73,292,37182,534.879,37,0.532,19
Croatia,Europe,1138076,28044.104,1623,39.993,30,16003,394.341,19,0.468,5
Cuba,Americas,1105477,9759.994,187,1.651,16,8529,75.301,0,0,0
Finland,Europe,1105211,20002.762,2229,40.342,0,4627,83.742,0,0,0
Lebanon,Eastern Mediterranean,1099896,16114.642,697,10.212,75,10438,152.928,9,0.132,1
Lithuania,Europe,1063297,38055.217,765,27.379,191,9149,327.441,4,0.143,1
Tunisia,Eastern Mediterranean,1042872,8823.975,510,4.315,0,28641,242.338,9,0.076,0
Slovenia,Europe,1026372,48971.377,1711,81.637,76,7794,371.876,3,0.143,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979213,3360.742,73,0.251,7,11952,41.02,0,0,0
Uruguay,Americas,934961,26915.189,9184,264.384,0,7262,209.055,24,0.691,0
